Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Mungkin bs ditanya langsung ke calon wakil pak Ganjar..,Mungkin bs ditanya langsung ke calon wakil pak Ganjar,mungkin bs ditanya langsung ke calon wakil pak ganjar,"['mungkin', 'bs', 'ditanya', 'langsung', 'ke', 'calon', 'wakil', 'pak', 'ganjar']","['mungkin', 'bisa', 'ditanya', 'langsung', 'ke', 'calon', 'wakil', 'pak', 'ganjar']","['langsung', 'calon', 'wakil', 'ganjar']","['langsung', 'calon', 'wakil', 'ganjar']",langsung calon wakil ganjar
cuma anda yg berani speak up yg lain meneng takut.. terimakasih dah mewakili,cuma anda yg berani speak up yg lain meneng takut terimakasih dah mewakili,cuma anda yg berani speak up yg lain meneng takut terimakasih dah mewakili,"['cuma', 'anda', 'yg', 'berani', 'speak', 'up', 'yg', 'lain', 'meneng', 'takut', 'terimakasih', 'dah', 'mewakili']","['cuma', 'anda', 'yang', 'berani', 'speak', 'up', 'yang', 'lain', 'meneng', 'takut', 'terimakasih', 'udah', 'mewakili']","['berani', 'speak', 'up', 'meneng', 'takut', 'terimakasih', 'udah', 'mewakili']","['berani', 'speak', 'up', 'neng', 'takut', 'terimakasih', 'udah', 'wakil']",berani speak up neng takut terimakasih udah wakil
"Setujuuuuu, sudah waktunya HAM di era Pak Ganjar jadi presiden ini di tegak kan",Setujuu sudah waktunya HAM di era Pak Ganjar jadi presiden ini di tegak kan,setujuu sudah waktunya ham di era pak ganjar jadi presiden ini di tegak kan,"['setujuu', 'sudah', 'waktunya', 'ham', 'di', 'era', 'pak', 'ganjar', 'jadi', 'presiden', 'ini', 'di', 'tegak', 'kan']","['setujuu', 'sudah', 'waktunya', 'ham', 'di', 'era', 'pak', 'ganjar', 'jadi', 'presiden', 'ini', 'di', 'tegak', 'kan']","['setujuu', 'ham', 'era', 'ganjar', 'presiden', 'tegak']","['setujuu', 'ham', 'era', 'ganjar', 'presiden', 'tegak']",setujuu ham era ganjar presiden tegak
Lah..menkopolhukam kan Mahfud!! Berarti Mahfud ikut gagal! Apa nggak salah ngomong kang.,Lah menkopolhukam kan Mahfud Berarti Mahfud ikut gagal Apa nggak salah ngomong kang,lah menkopolhukam kan mahfud berarti mahfud ikut gagal apa nggak salah ngomong kang,"['lah', 'menkopolhukam', 'kan', 'mahfud', 'berarti', 'mahfud', 'ikut', 'gagal', 'apa', 'nggak', 'salah', 'ngomong', 'kang']","['lah', 'menkopolhukam', 'kan', 'mahfud', 'berarti', 'mahfud', 'ikut', 'gagal', 'apa', 'nggak', 'salah', 'ngomong', 'kang']","['menkopolhukam', 'mahfud', 'mahfud', 'gagal', 'nggak', 'salah', 'ngomong', 'kang']","['menkopolhukam', 'mahfud', 'mahfud', 'gagal', 'nggak', 'salah', 'ngomong', 'kang']",menkopolhukam mahfud mahfud gagal nggak salah ngomong kang
"Ganjar ini memang hobinya ngomong ngawur/blunder. Ya memang bisa dimaklumi, karena apa yg dia omongkan adalah pesanan gerombolan banteng. Kasian dia, tapi yah lumayanlah ada capres buat lucu lucuan.. #badut2024",Ganjar ini memang hobinya ngomong ngawur blunder Ya memang bisa dimaklumi karena apa yg dia omongkan adalah pesanan gerombolan banteng Kasian dia tapi yah lumayanlah ada capres buat lucu lucuan,ganjar ini memang hobinya ngomong ngawur blunder ya memang bisa dimaklumi karena apa yg dia omongkan adalah pesanan gerombolan banteng kasian dia tapi yah lumayanlah ada capres buat lucu lucuan,"['ganjar', 'ini', 'memang', 'hobinya', 'ngomong', 'ngawur', 'blunder', 'ya', 'memang', 'bisa', 'dimaklumi', 'karena', 'apa', 'yg', 'dia', 'omongkan', 'adalah', 'pesanan', 'gerombolan', 'banteng', 'kasian', 'dia', 'tapi', 'yah', 'lumayanlah', 'ada', 'capres', 'buat', 'lucu', 'lucuan']","['ganjar', 'ini', 'memang', 'hobinya', 'ngomong', 'ngawur', 'blunder', 'ya', 'memang', 'bisa', 'dimaklumi', 'karena', 'apa', 'yang', 'dia', 'omongkan', 'adalah', 'pesanan', 'gerombolan', 'banteng', 'kasian', 'dia', 'tapi', 'yah', 'lumayanlah', 'ada', 'capres', 'buat', 'lucu', 'lucuan']","['ganjar', 'hobinya', 'ngomong', 'ngawur', 'blunder', 'ya', 'dimaklumi', 'omongkan', 'pesanan', 'gerombolan', 'banteng', 'kasian', 'yah', 'lumayanlah', 'capres', 'lucu', 'lucuan']","['ganjar', 'hobi', 'ngomong', 'ngawur', 'blunder', 'ya', 'maklum', 'omong', 'pesan', 'gerombol', 'banteng', 'kasi', 'yah', 'lumayan', 'capres', 'lucu', 'lucu']",ganjar hobi ngomong ngawur blunder ya maklum omong pesan gerombol banteng kasi yah lumayan capres lucu lucu
menkopolhukamnya 😃,menkopolhukamnya,menkopolhukamnya,['menkopolhukamnya'],['menkopolhukamnya'],['menkopolhukamnya'],['menkopolhukamnya'],menkopolhukamnya
Tombol Anti pdip >,Tombol Anti pdip,tombol anti pdip,"['tombol', 'anti', 'pdip']","['tombol', 'anti', 'pdip']","['tombol', 'anti', 'pdip']","['tombol', 'anti', 'pdip']",tombol anti pdip
"Dengan kata lain, Calon Wakilnya saat ini Gagal Total 😂😂😂. Senjata Makan Tuan.",Dengan kata lain Calon Wakilnya saat ini Gagal Total Senjata Makan Tuan,dengan kata lain calon wakilnya saat ini gagal total senjata makan tuan,"['dengan', 'kata', 'lain', 'calon', 'wakilnya', 'saat', 'ini', 'gagal', 'total', 'senjata', 'makan', 'tuan']","['dengan', 'kata', 'lain', 'calon', 'wakilnya', 'saat', 'ini', 'gagal', 'total', 'senjata', 'makan', 'tuan']","['calon', 'wakilnya', 'gagal', 'total', 'senjata', 'makan', 'tuan']","['calon', 'wakil', 'gagal', 'total', 'senjata', 'makan', 'tuan']",calon wakil gagal total senjata makan tuan
Ganjar mahfud lebih baik dari pada yang lain!!! #ganjarmahfud2024,Ganjar mahfud lebih baik dari pada yang lain,ganjar mahfud lebih baik dari pada yang lain,"['ganjar', 'mahfud', 'lebih', 'baik', 'dari', 'pada', 'yang', 'lain']","['ganjar', 'mahfud', 'lebih', 'baik', 'dari', 'pada', 'yang', 'lain']","['ganjar', 'mahfud']","['ganjar', 'mahfud']",ganjar mahfud
"ya alloh berikanlah bangsaku pemimpin yg amanah, jujur, rendah hati insyaallah ada pada pada bpk ganjar p -mahfud md",ya alloh berikanlah bangsaku pemimpin yg amanah jujur rendah hati insyaallah ada pada pada bpk ganjar mahfud md,ya alloh berikanlah bangsaku pemimpin yg amanah jujur rendah hati insyaallah ada pada pada bpk ganjar mahfud md,"['ya', 'alloh', 'berikanlah', 'bangsaku', 'pemimpin', 'yg', 'amanah', 'jujur', 'rendah', 'hati', 'insyaallah', 'ada', 'pada', 'pada', 'bpk', 'ganjar', 'mahfud', 'md']","['ya', 'alloh', 'berikanlah', 'bangsaku', 'pemimpin', 'yang', 'amanah', 'jujur', 'rendah', 'hati', 'insyaallah', 'ada', 'pada', 'pada', 'bapak', 'ganjar', 'mahfud', 'md']","['ya', 'alloh', 'berikanlah', 'bangsaku', 'pemimpin', 'amanah', 'jujur', 'rendah', 'hati', 'insyaallah', 'ganjar', 'mahfud', 'md']","['ya', 'alloh', 'beri', 'bangsa', 'pimpin', 'amanah', 'jujur', 'rendah', 'hati', 'insyaallah', 'ganjar', 'mahfud', 'md']",ya alloh beri bangsa pimpin amanah jujur rendah hati insyaallah ganjar mahfud md
